planet_name,planet_mass,planet_radius,star_name,star_distance_to_us (pc),star_mass,star_radius,star_sp_type,has_atmospere
Earth,0.00314558,0.08921,Sun,0.00000484,1,1,G,YES
Mercury,0.000173910112,0.0341263728,Sun,0.00000484,1,1,G,YES
Venus,0.00256427115,0.08464961232,Sun,0.00000484,1,1,G,YES
Mars,0.000338065886,0.0474077448,Sun,0.00000484,1,1,G,YES
Jupiter,1,1,Sun,0.00000484,1,1,G,YES
51 Peg b,0.47,1.9,51 Peg,14.7,1.11,1.266,G2 IV,
55 Cnc b,0.84,,55 Cnc,12.34,1.015,0.98,K0IV-V,
55 Cnc e,0.02703,0.1737,55 Cnc,12.34,1.015,0.98,K0IV-V,
70I-469 c,0.0142,0.141,TOI-469,68.192,0.91,1.0,,
AU Mic b,0.116,0.4571,AU Mic,9.79,0.5,0.75,M1V,
AU Mic c,0.101,0.28,AU Mic,9.79,0.5,0.75,M1V,
AU Mic d,0.003187,,AU Mic,9.79,0.5,0.75,M1V,
BD+20 594 b,0.07,0.23,BD+20 594,180.39,1.67,1.08,G,
BLG-1691L b,0.046,,OGLE-2017-BLG-1691L,7290.0,0.45,,,
CD Cet b,0.01244,,CD Cet,8.609,0.161,0.175,M5.0,
CoRoT-12 b,0.917,1.44,CoRoT-12,1150.0,1.078,1.116,G2V,
CoRoT-16 b,0.535,1.17,CoRoT-16,840.0,1.098,1.19,G5V,
CoRoT-22 b,0.06,0.4354,CoRoT-22,592.0,1.099,1.136,G0IV,
CoRoT-24 b,0.018,0.33,CoRoT-24,600.0,0.91,0.86,K1V,
CoRoT-24 c,0.088,0.44,CoRoT-24,600.0,0.91,0.86,K1V,
CoRoT-25 b,0.27,1.08,CoRoT-25,1000.0,1.09,1.19,G0V,
CoRoT-26 b,0.52,1.26,CoRoT-26,1670.0,1.09,1.79,G8IV,
CoRoT-29 b,0.85,0.9,CoRoT-29,765.0,0.976,0.9,KOV,
CoRoT-31 b,0.84,1.46,CoRoT-31,2190.0,1.25,2.15,G2IV,
CoRoT-32 b,0.15,0.57,CoRoT-32,,1.09,0.79,G0VI,
CoRoT-36 b,0.68,1.41,CoRoT-36,954.0,1.32,1.52,,
CoRoT-4 b,0.72,1.19,CoRoT-4,,1.1,1.15,F8V,
CoRoT-5 b,0.467,1.33,CoRoT-5,400.0,1.0,1.186,F9V,
CoRoT-7 b,0.041812,0.136,CoRoT-7,150.0,0.93,0.87,K0V,
CoRoT-8 b,0.2158,0.5692,CoRoT-8,380.0,0.88,0.77,K1V,
CoRoT-9 b,0.84,0.94,CoRoT-9,460.0,0.99,0.94,G3V,
DS Tuc A b,0.0453,0.5085,DS Tuc A,44.12,0.959,0.872,G6V,
EPIC 201295312 b,0.0379,0.245,K2-44,483.19,1.15,1.58,,
EPIC 205084841 b,0.3883,1.561,EPIC 205084841,860.4,1.168,1.313,,
EPIC 211442297 b,0.84,1.115,K2-115,418.58,0.95,0.88,G4,
EPIC 211945201 b,0.085,0.514,EPIC 211945201,182.69,1.17,1.39,G0,
EPIC 212737443 b,0.02907,0.231,EPIC 212737443,347.45,0.69,0.67,K3,
EPIC 212737443 c,0.0303,0.24,EPIC 212737443,347.45,0.69,0.67,K3,
EPIC 246193072 b,0.26,0.774,EPIC 246193072,230.4,0.901,0.822,,
Exomoon Kepler-1708 b-i,0.116,0.2329,Kepler-1708,1667.0,1.088,1.117,,
G 9-40 b,0.013,0.17,G 9-40,27.93,0.29,0.31,M2.5 V,
GJ 1018 b,0.00843,0.1356,GJ 1018,22.075,0.427,0.428,M2,
GJ 1132 b,0.00522,0.1035,GJ 1132,12.04,0.181,0.207,M3.5,
GJ 1214 b,0.02571,0.24463,GJ 1214,13.0,0.15,0.216,M,
GJ 1252 b,0.00415,0.1053,GJ 1252,20.38,0.381,0.391,,
GJ 143 b,0.0714,0.2329,GJ 143,16.33,0.76,0.73,K4.5V,
GJ 143 c,0.01164,0.07958,GJ 143,16.33,0.76,0.73,K4.5V,
GJ 273 b,0.00922,,GJ 273,3.8,0.29,0.293,M3.5,
GJ 273 c,0.00374,,GJ 273,3.8,0.29,0.293,M3.5,
GJ 273 d,0.03448,,GJ 273,3.8,0.29,0.293,M3.5,
GJ 273 e,0.0297,,GJ 273,3.8,0.29,0.293,M3.5,
GJ 3090 b,0.01051,0.19,GJ 3090,22.444,0.519,0.516,,
GJ 3470 b,0.03958,0.37380742940036,GJ 3470,30.7,0.51,0.48,M1.5,
GJ 3473 b,0.00585,0.11277,GJ 3473,27.39,0.36,0.364,M4V,
GJ 357 b,0.006566,0.10411,GJ 357,9.444,0.342,0.337,M2.5 V,
GJ 3634 b,0.026,,GJ 3634,19.8,0.45,0.43,M2.5,
GJ 367  b,0.001718,0.0526,GJ 367,9.41,0.454,0.457,M1,
GJ 3929 b,0.00381,0.1026,GJ 3929,15.83,0.309,0.35,M3.5V,
GJ 436 b,0.07,0.38,GJ 436,10.2,0.452,0.464,M2.5,
GJ 486 b,0.00887,0.11643,GJ 486,8.0761,0.323,0.328,M3.5V,
GJ 876 d,0.021741,,GJ 876,4.7,0.334,0.36,M4 V,
GJ 876 e,0.04855,,GJ 876,4.7,0.334,0.36,M4 V,
GJ 9827 b,0.01532,0.13641,GJ 9827,30.3,0.659,0.651,K6V,
GJ 9827 c,0.00604,0.107,GJ 9827,30.3,0.659,0.651,K6V,
GJ 9827 d,0.01076,0.17441,GJ 9827,30.3,0.659,0.651,K6V,
GQ Lup b,0.013,1.8,GQ Lup,140.0,0.7,,K7eV,
Gaia-2 b,0.773,1.327,Gaia-2,207.2,1.0,1.064,,
Gaia22dkv b,0.5,,Gaia22dkv,1350.0,1.24,,,
HAT-P-1 b,0.525,1.319,HAT-P-1,139.0,1.151,1.174,GOV,
HAT-P-10 A b,0.46,1.045,HAT-P-10 A,125.0,0.82,0.81,K3V,
HAT-P-11 b,0.0736,0.389,HAT-P-11,37.89,0.809,0.683,K4,
HAT-P-12 b,0.210489884529,0.949,HAT-P-12,142.5,0.73,0.7,,
HAT-P-13 b,0.85,1.28,HAT-P-13,214.0,1.22,1.56,G4,
HAT-P-17 b,0.534,1.01,HAT-P-17,90.0,0.857,0.837,K,
HAT-P-18 b,0.183,0.947,HAT-P-18,166.0,0.77,0.717,K,
HAT-P-19 b,0.292,1.132,HAT-P-19,215.0,0.842,0.82,K,
HAT-P-24 b,0.685,1.242,HAT-P-24,405.0,1.191,1.317,F8,
HAT-P-25 b,0.567,1.19,HAT-P-25,297.0,1.01,0.959,G5,
HAT-P-26 b,0.0585,0.57,HAT-P-26,134.0,0.816,0.788,K1,
HAT-P-27 b,0.66,1.055,HAT-P-27,204.0,0.945,0.898,G8,
HAT-P-28 b,0.626,1.212,HAT-P-28,395.0,1.025,1.103,G3,
HAT-P-29 b,0.778,1.107,HAT-P-29,322.0,1.207,1.224,F8,
HAT-P-3 b,0.591,0.827,HAT-P-3,130.0,0.917,0.799,K,
HAT-P-30 b,0.711,1.34,HAT-P-30,193.0,1.18,1.33,F,
HAT-P-32 b,0.75,1.789,HAT-P-32,320.0,1.176,1.387,F/G,
HAT-P-33 b,0.763,1.827,HAT-P-33,419.0,1.403,1.777,F,
HAT-P-38 b,0.267,0.825,HAT-P-38,249.0,0.886,0.923,G,
HAT-P-39 b,0.599,1.571,HAT-P-39,642.0,1.404,1.625,,
HAT-P-4 b,0.68,1.27,HAT-P-4,310.0,1.26,1.59,F,
HAT-P-40 b,0.615,1.73,HAT-P-40,501.0,1.512,2.206,,
HAT-P-41 b,0.8,1.685,HAT-P-41,344.0,1.28,1.19,,
HAT-P-42 b,0.975,1.277,HAT-P-42,447.0,1.179,1.528,,
HAT-P-43 b,0.66,1.283,HAT-P-43,543.0,1.048,1.104,,
HAT-P-44 b,0.392,1.28,HAT-P-44,374.0,0.939,0.979,,
HAT-P-45 b,0.892,1.426,HAT-P-45,305.0,1.259,1.319,,
HAT-P-46 b,0.493,1.284,HAT-P-46,296.0,1.284,1.396,,
HAT-P-47 b,0.206,1.313,HAT-P-47,268.0,1.387,1.515,,
HAT-P-48 b,0.168,1.131,HAT-P-48,305.0,1.099,1.223,,
HAT-P-51 b,0.309,1.293,HAT-P-51,470.0,0.976,1.041,,
HAT-P-52 b,0.819,1.009,HAT-P-52,385.0,0.887,0.893,,
HAT-P-54 b,0.76,0.944,HAT-P-54,135.8,0.645,0.617,K,
HAT-P-55 b,0.582,1.182,HAT-P-55,480.0,1.013,1.011,,
HAT-P-58 b,0.372,1.332,HAT-P-58,519.0,1.031,1.53,,
HAT-P-60 b,0.574,1.631,HAT-P-60,235.4,1.435,2.197,,
HAT-P-62 b,0.761,1.073,HAT-P-62,353.1,1.023,1.17,,
HAT-P-63 b,0.614,1.119,HAT-P-63,408.0,0.925,0.9661,,
HAT-P-64 b,0.58,1.703,HAT-P-64,635.0,1.298,1.735,,
HAT-P-65 b,0.527,1.89,HAT-P-65,841.0,1.212,1.86,,
HAT-P-66 b,0.783,1.59,HAT-P-66,927.0,1.255,1.881,,
HAT-P-67 b,0.34,2.085,HAT-P-67,320.0,1.642,1.546,F,
HAT-P-68 b,0.724,1.072,HAT-P-68,202.0,0.6785,0.67,,
HAT-P-9 b,0.67,1.4,HAT-P-9,480.0,1.28,1.32,F,
HATS-10 b,0.526,0.969,HATS-10,496.0,1.1,1.105,,
HATS-11 b,0.85,1.609,HATS-11,967.34,1.33,1.54,G0,
HATS-13 b,0.543,1.212,HATS-13,476.0,0.962,0.887,,
HATS-19 b,0.427,1.66,HATS-19,780.0,1.303,1.74,G0,
HATS-20 b,0.273,0.776,HATS-20,454.0,0.91,0.892,G9V,
HATS-21 b,0.332,1.123,HATS-21,286.0,1.08,1.021,G4V,
HATS-25 b,0.613,1.26,HATS-25,466.0,0.994,1.107,G,
HATS-26 b,0.65,1.75,HATS-26,907.0,1.299,2.04,F,
HATS-27 b,0.53,1.5,HATS-27,840.0,1.415,1.74,F,
HATS-28 b,0.672,1.194,HATS-28,521.0,0.929,0.922,G,
HATS-29 b,0.653,1.251,HATS-29,351.0,1.032,1.073,G,
HATS-30 b,0.706,1.175,HATS-30,339.0,1.093,1.061,,
HATS-31 b,0.88,1.64,HATS-31,872.0,1.275,1.87,,
HATS-32 b,0.92,1.249,HATS-32,839.0,1.099,1.097,,
HATS-34 b,0.941,1.43,HATS-34,532.0,0.955,0.98,,
HATS-37A b,0.099,0.606,HATS-37A,211.1,0.843,0.877,,
HATS-38 b,0.074,0.614,HATS-38,347.7,0.89,1.105,,
HATS-39 b,0.63,1.57,HATS-39,773.0,1.379,1.621,,
HATS-43 b,0.261,1.18,HATS-43,341.0,0.837,0.812,K,
HATS-44 b,0.56,1.067,HATS-44,463.0,0.86,0.847,K,
HATS-45 b,0.7,1.286,HATS-45,818.0,1.272,1.315,F,
HATS-46 b,0.173,0.903,HATS-46,448.0,0.917,0.853,G,
HATS-47 b,0.369,1.117,HATS-47,301.7,0.674,0.6564,,
HATS-48A b,0.243,0.8,HATS-48A,265.4,0.7279,0.7152,,
HATS-49 b,0.353,0.765,HATS-49,324.6,0.7133,0.6977,,
HATS-5 b,0.237,0.912,HATS-5,257.0,0.936,0.871,,
HATS-50 b,0.39,1.13,HATS-50,717.0,1.168,1.117,,
HATS-51 b,0.768,1.41,HATS-51,478.0,1.187,1.44,,
HATS-53 b,0.595,1.34,HATS-53,613.0,0.964,1.1,,
HATS-54 b,0.753,1.015,HATS-54,720.0,1.05,1.23,G8V,
HATS-55 b,0.921,1.251,HATS-55,623.6,1.1955,1.126,,
HATS-56 b,0.602,1.688,HATS-56,577.1,1.573,2.201,,
HATS-59 b,0.806,1.126,HATS-59,654.0,1.038,1.036,,
HATS-6 b,0.319,0.998,HATS-6,148.4,0.574,0.57,M1V,
HATS-60 b,0.662,1.153,HATS-60,494.7,1.1,1.46,,
HATS-62 b,0.179,1.055,HATS-62,515.9,0.911,0.923,,
HATS-63 b,0.96,1.207,HATS-63,634.4,0.931,1.07,,
HATS-64 b,0.96,1.679,HATS-64,1087.0,1.562,2.113,,
HATS-65 b,0.821,1.501,HATS-65,491.0,1.269,1.296,,
HATS-69 b,0.577,0.945,HATS-69,420.3,0.892,0.8785,,
HATS-7 b,0.12,0.563,HATS-7,257.0,0.849,0.815,K2,
HATS-71A b,0.45,1.08,HATS-71A,140.68,0.569,0.5161,M3,
HATS-72 b,0.1254,0.7224,HATS-72,127.66,0.7311,0.7214,,
HATS-75 b,0.491,0.884,HATS-75,195.3,0.6017,0.5848,,
HATS-8 b,0.138,0.873,HATS-8,829.0,1.056,1.086,G2V,
HATS-9 b,0.839,1.236,HATS-9,654.36,1.1,1.56,,
HD 102195 b,0.46,,HD 102195,28.98,0.926,0.835,K0V,
HD 106315 b,0.03964,0.218,HD 106315,109.0,1.09,1.3,F5 V,
HD 106315 c,0.04782,0.388,HD 106315,109.0,1.09,1.3,F5 V,
HD 110113 b,0.01432,0.1829,HD 110113,106.3,0.997,0.968,,
HD 136352 b,0.01472,0.14658,HD 136352,14.8,,,G4V,
HD 136352 c,0.0353,0.25489,HD 136352,14.8,,,G4V,
HD 136352 d,0.02725,0.22366,HD 136352,14.8,,,G4V,
HD 137496 b,0.01271,0.1169,HD 137496,,,,,
HD 1397 b,0.415,1.026,HD 1397,79.31,1.322,2.328,G5III,
HD 149026 b,0.357,0.718,HD 149026,78.9,1.3,1.497,G0 IV,
HD 152843 b,0.03637,0.3042,HD 152843,107.898,1.15,1.43,G0,
HD 152843 c,0.0865,0.5201,HD 152843,107.898,1.15,1.43,G0,
HD 183579 b,0.0302,0.3149,HD 183579,57.06,1.031,0.985,G5V,
HD 190622 b,0.0242,0.27541,HD 190622,88.74,1.044,1.205,F,
HD 191939 b,0.0327,0.3024,HD 191939,53.608,0.81,0.945,G8V,
HD 191939 c,0.0227,0.2748,HD 191939,53.608,0.81,0.945,G8V,
HD 191939 d,0.0182,0.2712,HD 191939,53.608,0.81,0.945,G8V,
HD 20329 b,0.02335,0.1534,HD 20329,63.38,0.9,1.13,G5,
HD 207496 b,0.0192,0.2007,HD 207496,23.6382,0.8,0.769,K2.5 V,
HD 207897 b,0.05,0.22348,HD 207897,28.25,0.801,0.779,K0V,
HD 208487 c,0.46,,HD 208487,45.0,1.3,1.15,G2V,
HD 209458 b,0.69,1.38,HD 209458,47.0,1.148,1.203,G0 V,
HD 213885 b,0.02778,0.15568,HD 213885,57.97,1.068,1.101,G,
HD 219134 b,0.01343,0.134,HD 219134,6.55,0.794,0.778,K3V,
HD 219134 c,0.01246,0.12624,HD 219134,6.55,0.794,0.778,K3V,
HD 219134 d,0.05236,,HD 219134,6.55,0.794,0.778,K3V,
HD 219134 f,0.0208,,HD 219134,6.55,0.794,0.778,K3V,
HD 219666 b,0.0522,0.4202,HD 219666,94.4,0.92,1.03,,
HD 221416 b,0.1904,0.836,HD 221416,95.075,1.212,2.943,K0IV/V,
HD 22946 b,0.00821,0.12151,HD 22946,62.87,1.104,1.157,F7/F8V,
HD 22946 c,0.0208,0.20769,HD 22946,62.87,1.104,1.157,F7/F8V,
HD 22946 d,0.0249,0.23258,HD 22946,62.87,1.104,1.157,F7/F8V,
HD 23472 b,0.02618,0.16701,HD 23472,39.1,0.75,0.73,K3.5V,
HD 23472 c,0.01073,0.1668,HD 23472,39.1,0.75,0.73,K3.5V,
HD 23472 d,0.00173,0.0669,HD 23472,39.1,0.75,0.73,K3.5V,
HD 23472 e,0.00227,0.07298,HD 23472,39.1,0.75,0.73,K3.5V,
HD 23472 f,0.00242,0.10144,HD 23472,39.1,0.75,0.73,K3.5V,
HD 260655 b,0.00673,0.1106,HD 260655,9.9976,0.439,0.439,MOV,
HD 260655 c,0.00972,0.13677,HD 260655,9.9976,0.439,0.439,MOV,
HD 28109 b,0.058195,0.19618,HD 28109,140.087,1.26,1.446,F8,
HD 3167 b,0.0158,0.152,HD 3167,47.36,0.94,0.87,K0 V,
HD 3167 c,0.0308,0.255,HD 3167,47.36,0.94,0.87,K0 V,
HD 332231 b,0.244,0.867,HD 332231,80.597,1.127,1.277,F8,
HD 3651 b,0.23,,HD 3651,11.0,0.79,0.947,K0 V,
HD 38529 b,0.93,,HD 38529,39.28,1.48,2.44,G4 IV,
HD 5278 b,0.0245,0.2186,HD 5278,56.12,1.126,1.194,,
HD 63935 b,0.034,0.2668,HD 63935,48.8,0.933,0.959,,
HD 63935 c,0.0349,0.259,HD 63935,48.8,0.933,0.959,,
HD 69830 b,0.1427,,HD 69830,12.6,0.86,0.895,K0V,
HD 69830 c,0.1649,,HD 69830,12.6,0.86,0.895,K0V,
HD 69830 d,0.2529,,HD 69830,12.6,0.86,0.895,K0V,
HD 73583 b,0.0321,0.2489,HD 73583,31.6,0.66,0.71,K4V,
HD 73583 c,0.0302,0.2436,HD 73583,31.6,0.66,0.71,K4V,
HD 80653 b,0.01762,0.144,HD 80653,109.86,1.18,1.22,G2,
HD 86226 c,0.02281,0.1927,HD 86226,42.48,1.02,,G2V,
HD 89345 b,0.1123,0.612,HD 89345,126.6,1.12,1.657,G5V,
HD 95338 b,0.12406,0.3551,HD 95338,36.9,0.76,0.86,K0.5V,
HD 97658 b,0.02457,0.20047,HD 97658,21.1,0.85,0.73,K1V,
HIP 113103 b,0.0186,0.16317,HIP 113103,46.258,0.761,0.742,,
HIP 113103 c,0.0264,0.2141,HIP 113103,46.258,0.761,0.742,,
HIP 116454 b,0.0372,0.226,HIP 116454,55.2,0.775,0.716,K2,
HIP 41378 f,0.038,0.821,HIP 41378,116.0,1.15,1.4,,
HIP 97166 b,0.063,0.2444,HIP 97166,66.08,0.898,0.836,,
K2-10 b,0.08495,0.343,K2-10,274.48,0.92,0.98,F9,
K2-105 b,0.094,0.301,K2-105,199.28,0.99,0.91,K1,
K2-106 b,0.0263,0.162,EPIC 220674823,246.1,0.97,0.98,G5 V,
K2-106 c,0.018,0.244,EPIC 220674823,246.1,0.97,0.98,G5 V,
K2-107 b,0.84,1.426,K2-107,696.95,1.3,1.81,F9 IV,
K2-108 b,0.187,0.476,K2-108,484.99,1.17,1.76,,
K2-110 b,0.0525,0.228,K2-110,116.84,0.75,0.71,K3 V,
K2-111 b,0.01664,0.162,K2-111,201.7,0.84,1.25,G2,
K2-124 b,0.033,0.259,K2-124,140.4,0.39,0.39,M3V,
K2-132 b,0.49,1.3,K2-132,620.41,1.08,3.85,K,
K2-133 b,0.0069,0.12,K2-133,75.2,0.46,0.46,M1.5 V,
K2-133 c,0.01,0.143,K2-133,75.2,0.46,0.46,M1.5 V,
K2-133 d,0.026,0.179,K2-133,75.2,0.46,0.46,M1.5 V,
K2-137 b,0.5,0.079,K2-137,99.15,0.46,0.44,M3 V,
K2-138 b,0.0098,0.14,K2-138,183.0,0.93,0.86,K1 V,
K2-138 c,0.0198,0.225,K2-138,183.0,0.93,0.86,K1 V,
K2-138 d,0.0249,0.237,K2-138,183.0,0.93,0.86,K1 V,
K2-138 e,0.0409,0.294,K2-138,183.0,0.93,0.86,K1 V,
K2-138 f,0.005,0.251,K2-138,183.0,0.93,0.86,K1 V,
K2-138 g,0.0135,0.2688,K2-138,183.0,0.93,0.86,K1 V,
K2-139 b,0.381,0.813,K2-139,154.6,0.96,0.88,K0 V,
K2-140 b,0.93,1.093,K2-140,341.6,1.0,0.99,G5,
K2-141 b,0.01598,0.135,K2-141,61.0,0.708,0.681,,
K2-141 c,0.02328,0.624,K2-141,61.0,0.708,0.681,,
K2-146 b,0.01816,0.183,K2-146,79.31,0.33,0.33,M3.0 V,
K2-146 c,0.02358,0.195,K2-146,79.31,0.33,0.33,M3.0 V,
K2-155 b,0.0148,0.161,K2-155,82.0,0.65,0.58,K7,
K2-155 c,0.0205,0.232,K2-155,82.0,0.65,0.58,K7,
K2-155 d,0.0154,0.17,K2-155,82.0,0.65,0.58,K7,
K2-174 b,0.0289,0.232,K2-174,100.1,0.7,0.68,,
K2-18 b,0.02807,0.211,K2-18,38.07,0.36,0.41,M2.5 V,
K2-180 b,0.036,0.206,K2-180,204.51,0.72,0.72,K2V,
K2-182 b,0.063,0.24,K2-182,155.9,0.88,0.8,,
K2-19 b,0.1019,0.691,K2-19,292.14,0.93,0.86,G9 V,
K2-19 c,0.034,0.434,K2-19,292.14,0.93,0.86,G9 V,
K2-19 d,0.031,0.102,K2-19,292.14,0.93,0.86,G9 V,
K2-199 b,0.0217,0.1543,K2-199,107.97,0.73,0.68,,
K2-199 c,0.039,0.2543,K2-199,107.97,0.73,0.68,,
K2-21 b,0.00623,0.164,K2-21,83.85,0.68,0.65,M0.0,
K2-21 c,0.01561,0.222,K2-21,83.85,0.68,0.65,M0.0,
K2-216 b,0.02517,0.156,K2-216,115.84,0.7,0.72,K5 V,
K2-222 b,0.025,0.2097,K2-222,101.59,1.0,1.09,,
K2-229 b,0.00815,0.102,K2-229,103.8,0.87,0.79,G9,
K2-229 c,0.067,0.181,K2-229,103.8,0.87,0.79,G9,
K2-229 d,0.079,0.2364,K2-229,103.8,0.87,0.79,G9,
K2-231 b,0.0227,0.223,K2-231,295.0,1.01,0.95,,
K2-232 b,0.398,1.0,K2-232,131.21,1.19,1.16,F9V,
K2-233 b,0.0104,0.125,K2-233,67.64,0.8,0.74,K3,
K2-233 d,0.0261,0.236,K2-233,67.64,0.8,0.74,K3,
K2-238 b,0.86,1.3,K2-238,453.0,1.19,1.59,G2 V,
K2-239 b,0.0044,0.098,K2-239,49.0,0.4,0.36,M3.0 V,
K2-239 c,0.0028,0.089,K2-239,49.0,0.4,0.36,M3.0 V,
K2-239 d,0.0041,0.098,K2-239,49.0,0.4,0.36,M3.0 V,
K2-24 b,0.05978,0.482,K2-24,171.39,1.07,1.16,G9 V,
K2-24 c,0.04845,0.669,K2-24,171.39,1.07,1.16,G9 V,
K2-240 b,0.0157,0.178,K2-240,70.0,0.58,0.54,M0.5 V,
K2-240 c,0.0145,0.161,K2-240,70.0,0.58,0.54,M0.5 V,
K2-25 b,0.0771,0.306,K2-25,45.01,0.29,0.29,M4.5,
K2-261 b,0.223,0.85,K2-261,214.58,1.1,1.65,G7 IV/V,
K2-263 b,0.0466,0.215,K2-263,163.23,0.88,0.85,G9 V,
K2-265 b,0.02058,0.153,K2-265,139.22,0.92,0.98,G8 V,
K2-266 b,0.0355,0.294,K2-266,77.16,0.69,0.7,K,
K2-266 c,0.00091,0.063,K2-266,77.16,0.69,0.7,K,
K2-266 d,0.028,0.261,K2-266,77.16,0.69,0.7,K,
K2-266 e,0.04499,0.244,K2-266,77.16,0.69,0.7,K,
K2-27 b,0.09722,0.4,K2-27,251.43,0.87,0.89,,
K2-280 b,0.1167,0.684,K2-280,396.9,1.11,1.28,,
K2-285 b,0.03046,0.231,K2-285,155.65,0.83,0.79,K2 V,
