planet_name,planet_mass,planet_radius,star_name,star_distance_to_us (pc),star_mass,star_radius,star_sp_type,has_atmospere
K2-285 c,0.04933,0.315,K2-285,155.65,0.83,0.79,K2 V,
K2-285 d,0.02045,0.221,K2-285,155.65,0.83,0.79,K2 V,
K2-285 e,0.03367,0.174,K2-285,155.65,0.83,0.79,K2 V,
K2-286 b,0.0214,0.187,K2-286,76.32,0.64,0.62,M0 V,
K2-287 b,0.315,0.847,K2-287,159.05,1.06,1.07,,
K2-289 b,0.1529,0.812,K2-289,270.7,0.95,1.02,,
K2-29 b,0.73,1.19,K2-29,179.39,0.94,0.86,G7 V,
K2-290 b,0.0343,0.273,K2-290,274.99,1.19,1.51,,
K2-290 c,0.774,1.006,K2-290,274.99,1.19,1.51,,
K2-291 b,0.02042,0.142,K2-291,90.29,0.93,0.9,,
K2-292 b,0.07709,0.235,K2-292,114.29,1.0,1.09,G3 V,
K2-295 b,0.335,0.897,K2-295,225.7,0.74,0.7,K5 V,
K2-3 b,0.02039,0.194,K2-3,45.0,0.6,0.56,M0.0V,
K2-3 c,0.00673,0.165,K2-3,45.0,0.6,0.56,M0.0V,
K2-3 d,0.00881,0.135,K2-3,45.0,0.6,0.56,M0.0V,
K2-30 b,0.579,1.039,K2-30,336.26,0.9,0.84,G6 V,
K2-308 b,0.025,0.884,K2-308,,1.09,1.24,,
K2-314 b,0.02753,0.174,EPIC 249893012,324.7,1.05,1.71,G8 1V/V,
K2-314 c,0.04616,0.3274,EPIC 249893012,324.7,1.05,1.71,G8 1V/V,
K2-314 d,0.03203,0.3515,EPIC 249893012,324.7,1.05,1.71,G8 1V/V,
K2-32 b,0.047,0.443,K2-32,158.39,0.86,0.84,G9 V,
K2-32 c,0.0255,0.244,K2-32,158.39,0.86,0.84,G9 V,
K2-32 d,0.0211,0.292,K2-32,158.39,0.86,0.84,G9 V,
K2-32 e,0.0066,0.09,K2-32,158.39,0.86,0.84,G9 V,
K2-36 b,0.01227,0.128,K2-36,110.09,0.79,0.72,K2 V,
K2-36 c,0.02454,0.2783,K2-36,110.09,0.79,0.72,K2 V,
K2-38 b,0.06,0.17,K2-38,193.71,2.24,1.38,G2 V,
K2-38 c,0.03115,0.216,K2-38,193.71,2.24,1.38,G2 V,
K2-39 b,0.09,0.56,K2-39,310.14,0.66,2.97,,
K2-415 b,0.009,0.09055,K2-415,21.8043,0.1635,0.1965,,
K2-416 b,0.023,0.241,K2-416,,,,,
K2-417 b,0.0299,0.2837,K2-417,,,,,
K2-52 b,0.4046,1.606,K2-52,1041.7,1.69,2.19,,
K2-53 b,0.0289,0.232,K2-53,139.1,0.85,0.81,,
K2-55 b,0.138,0.341,K2-55,160.26,0.7,0.63,,
K2-60 b,0.426,0.683,K2-60,498.7,0.97,1.12,G4 V,
K2-66 b,0.06702,0.222,K2-66,520.43,1.11,1.67,,
K2-79 b,0.0371,0.3649,K2-79,257.9,1.06,1.28,,
K2-87 b,0.1192,0.678,K2-87,503.6,1.16,1.4,,
K2-90 b,0.028,0.232,K2-90,134.9,0.63,0.62,,
K2-98 b,0.101,0.464,K2-98,526.31,1.2,1.57,F8 V,
K2-99 b,0.87,1.046,K2-99,522.29,1.63,2.63,G0 IV,
KELT-10 b,0.679,1.399,KELT-10,183.0,1.112,1.209,,
KELT-11 b,0.195,1.3,KELT-11,98.0,1.438,2.72,G8,
KELT-12 b,0.95,1.79,WASP-86,360.0,1.239,1.291,F7,
KELT-15 b,0.92,1.443,KELT-15,201.0,1.181,1.481,,
KELT-23A b,0.938,1.323,KELT-23A,125.42,0.942,0.996,,
KELT-4 A b,0.884,1.706,KELT-4 A,211.0,1.204,1.61,F,
KELT-6 b,0.442,1.18,KELT-6,,1.126,1.529,F,
KELT-8 b,0.874,1.86,KELT-8,236.0,1.211,1.67,G2V,
KMT-2016-BLG-0625 b,0.051,,KMT-2016-BLG-0625,,,,,
KMT-2016-BLG-1105 b,0.0073,,KMT-2016-BLG-1105,5080.0,0.41,,,
KMT-2016-BLG-2605 b,0.771,,KMT-2016-BLG-2605,6421.0,0.064,,,
KMT-2017-BLG-0165L b,0.107,,KMT-2017-BLG-0165L,4530.0,0.76,,,
KMT-2017-BLG-0428 b,0.01114,,KMT-2017-BLG-0428,5400.0,0.34,,,
KMT-2017-BLG-1003 b,0.01633,,KMT-2017-BLG-1003,7090.0,0.32,,,
KMT-2017-BLG-1146 b,0.85,,KMT-2017-BLG-1146,6600.0,0.4,,,
KMT-2018-BLG-0029 b,0.02017,,KMT-2018-BLG-0029,2730.0,1.06,,,
KMT-2018-BLG-0087 b,0.23,,KMT-2018-BLG-0087,7020.0,0.1,,,
KMT-2018-BLG-0748 b,0.19,,KMT-2018-BLG-0748,7300.0,0.087,,,
KMT-2018-BLG-1025L b,0.019064,,KMT-2018-BLG-1025L,6700.0,0.22,,,
KMT-2018-BLG-1743 b,0.925,,KMT-2018-BLG-1743,6200.0,0.3,,,
KMT-2018-BLG-1988L b,0.0214,,KMT-2018-BLG-1988L,4200.0,0.47,,,
KMT-2018-BLG-1990L b,0.57,,KMT-2018-BLG-1990L,1239.0,0.14,,M,
KMT-2018-BLG-2004 b,0.27,,KMT-2018-BLG-2004,6980.0,0.69,,,
KMT-2019-BLG-0253 b,0.0289,,KMT-2019-BLG-0253,4900.0,0.7,,,
KMT-2019-BLG-1042 b,0.19,,KMT-2019-BLG-1042,6600.0,0.3,,,
KMT-2019-BLG-1216 b,0.094,,KMT-2019-BLG-1216,2740.0,0.39,,,
KMT-2019-BLG-1367 b,0.01284,,KMT-2019-BLG-1367,4670.0,0.25,,,
KMT-2019-BLG-1806 b,0.01469,,KMT-2019-BLG-1806,6640.0,0.74,,,
KMT-2019-BLG-1953L b,0.59,,KMT-2019-BLG-1953,7040.0,0.31,,,
KMT-2019-BLG-1953L c,0.28,,KMT-2019-BLG-1953,7040.0,0.31,,,
KMT-2019-BLG-2073,0.186,,,,,,,
KMT-2019-BLG-2974 b,0.28,,KMT-2019-BLG-2974,6100.0,0.47,,,
KMT-2020-BLG-0414 b,0.00381,,KMT-2020-BLG-0414,1220.0,0.364,,,
KMT-2021-BLG-0171L b,0.0352,,KMT-2021-BLG-0171L,4600.0,0.78,,,
KMT-2021-BLG-0192 b,0.15,,KMT-2021-BLG-0192,3000.0,0.4,,,
KMT-2021-BLG-0240 b,0.4,,KMT-2021-BLG-0240,7000.0,0.47,,,
KMT-2021-BLG-0240 c,0.7,,KMT-2021-BLG-0240,7000.0,0.47,,,
KMT-2021-BLG-0320 b,0.1,,KMT-2021-BLG-0320,6950.0,0.32,,,
KMT-2021-BLG-0712 b,0.12016,,KMT-2021-BLG-0712,3090.0,0.22,,,
KMT-2021-BLG-0748 b,0.45,,KMT-2021-BLG-0748,6090.0,0.36,,,
KMT-2021-BLG-1077L b,0.22,,KMT-2021-BLG-1077L,8240.0,0.14,,,
KMT-2021-BLG-1077L c,0.25,,KMT-2021-BLG-1077L,8240.0,0.14,,,
KMT-2021-BLG-1150L b,0.88,,KMT-2021-BLG-1150L,3800.0,0.73,,,
KMT-2021-BLG-1253 b,0.05994,,KMT-2021-BLG-1253,6649.0,0.24,,,
KMT-2021-BLG-1303 b,0.38,,KMT-2021-BLG-1303,6280.0,0.57,,,
KMT-2021-BLG-1372 b,0.19278,,KMT-2021-BLG-1372,5970.0,0.42,,,
KMT-2021-BLG-1554 b,0.12,,KMT-2021-BLG-1554,7680.0,0.08,,,
KMT-2021-BLG-1689L b,0.145,,KMT-2021-BLG-1689L,7200.0,0.58,,,
KMT-2021-BLG-1898 b,0.76,,KMT-2021-BLG-1898,6900.0,0.48,,,
KMT-2021-BLG-1931 b,0.01432,,KMT-2021-BLG-1931,5720.0,0.37,,,
KMT-2021-BLG-2294 b,0.07,,KMT-2021-BLG-2294,6830.0,0.125,,,
KMT-2021-BLG-2478 b,0.8,,KMT-2021-BLG-2478,2500.0,0.12,,,
KMT-2022-BLG-0371 b,0.26,,KMT-2022-BLG-0371,7140.0,0.63,,,
KMT-2022-BLG-0440L b,0.0485,,KMT-2022-BLG-0440L,3500.0,0.53,,,
KMT-2022-BLG-0475 b,0.079,,KMT-2022-BLG-0475,6580.0,0.43,,,
KMT-2022-BLG-1013 b,0.31,,KMT-2022-BLG-1013,,,,,
KMT-2022-BLG-1480 b,0.083,,KMT-2022-BLG-1480,7790.0,0.18,,,
KOI-142 b,0.03,0.307,KOI-142,339.0,0.99,0.9,G6 V,
KOI-142 c,0.674,,KOI-142,339.0,0.99,0.9,G6 V,
KOI-1599.01,0.01447,0.17,KOI-1599,1168.99,1.02,0.97,,
KOI-1599.02,0.02832,0.17,KOI-1599,1168.99,1.02,0.97,,
KOI-1783 b,0.2234,0.7904,KOI-1783,887.81,1.08,1.14,,
KOI-1783 c,0.0472,0.4853,KOI-1783,887.81,1.08,1.14,,
KOI-2700 b,0.00271,0.0946,KOI-2700,,0.632,0.574,,
KOI-4777,0.00107,0.0455,KOI-4777,170.66,0.41,0.4,,
KOI-55 b,0.0014,0.068,KOI-55,1180.0,0.5,0.2,B,
KOI-55 c,0.0021,0.077,KOI-55,1180.0,0.5,0.2,B,
KOI-984 b,0.0544,0.384,KOI-984,229.63,0.928,0.818,,
KOI-984 c,0.6601,,KOI-984,229.63,0.928,0.818,,
Kepler-10 b,0.0145,0.132,Kepler-10,186.5,0.91,1.06,G,
Kepler-10 c,0.02319,0.2097,Kepler-10,186.5,0.91,1.06,G,
Kepler-100 b,0.023,0.118,Kepler-100,307.34,1.08,1.49,,
Kepler-100 c,0.02218,0.196,Kepler-100,307.34,1.08,1.49,,
Kepler-100 d,0.00944,0.144,Kepler-100,307.34,1.08,1.49,,
Kepler-101 b,0.16,0.51,Kepler-101,953.44,1.17,1.56,G3 IV,
Kepler-101 c,0.01,0.112,Kepler-101,953.44,1.17,1.56,G3 IV,
Kepler-102 b,0.01353,0.042,Kepler-102,108.13,0.81,0.76,,
Kepler-102 c,0.00944,0.052,Kepler-102,108.13,0.81,0.76,,
Kepler-102 d,0.012,0.105,Kepler-102,108.13,0.81,0.76,,
Kepler-102 e,0.028,0.198,Kepler-102,108.13,0.81,0.76,,
Kepler-102 f,0.01636,0.079,Kepler-102,108.13,0.81,0.76,,
Kepler-103 b,0.031,0.301,Kepler-103,501.93,1.09,1.44,,
Kepler-103 c,0.114,0.459,Kepler-103,501.93,1.09,1.44,,
Kepler-104 b,0.0167,0.277,Kepler-104,405.42,0.81,1.35,,
Kepler-104 c,0.0242,0.279,Kepler-104,405.42,0.81,1.35,,
Kepler-104 d,0.0311,0.319,Kepler-104,405.42,0.81,1.35,,
Kepler-105 b,0.016,0.429,Kepler-105,465.33,0.96,0.89,,
Kepler-105 c,0.01447,0.117,Kepler-105,465.33,0.96,0.89,,
Kepler-106 b,0.01668,0.073,Kepler-106,449.98,1.0,1.04,,
Kepler-106 c,0.033,0.223,Kepler-106,449.98,1.0,1.04,,
Kepler-106 d,0.02549,0.085,Kepler-106,449.98,1.0,1.04,,
Kepler-106 e,0.035,0.228,Kepler-106,449.98,1.0,1.04,,
Kepler-107 b,0.01104,0.137,Kepler-107,525.5,1.24,1.45,,
Kepler-107 c,0.02954,0.142,Kepler-107,525.5,1.24,1.45,,
Kepler-107 d,0.01196,0.077,Kepler-107,525.5,1.24,1.45,,
Kepler-107 e,0.02706,0.259,Kepler-107,525.5,1.24,1.45,,
Kepler-109 b,0.02297,0.211,Kepler-109,481.4,1.04,1.32,,
Kepler-109 c,0.06859,0.225,Kepler-109,481.4,1.04,1.32,,
Kepler-11 b,0.006,0.161,Kepler-11,658.59,0.96,1.06,G,
Kepler-11 c,0.009,0.256,Kepler-11,658.59,0.96,1.06,G,
Kepler-11 d,0.023,0.278,Kepler-11,658.59,0.96,1.06,G,
Kepler-11 e,0.025,0.374,Kepler-11,658.59,0.96,1.06,G,
Kepler-11 f,0.006,0.222,Kepler-11,658.59,0.96,1.06,G,
Kepler-11 g,0.079,0.297,Kepler-11,658.59,0.96,1.06,G,
Kepler-113 b,0.037,0.162,Kepler-113,264.35,0.75,0.69,,
Kepler-113 c,0.02737,0.194,Kepler-113,264.35,0.75,0.69,,
Kepler-114 b,0.022,0.112,Kepler-114,261.49,0.71,0.67,M0 V,
Kepler-114 c,0.009,0.143,Kepler-114,261.49,0.71,0.67,M0 V,
Kepler-114 d,0.012,0.226,Kepler-114,261.49,0.71,0.67,M0 V,
Kepler-117 b,0.094,0.719,Kepler-117,1430.0,1.13,1.61,F8 V,
Kepler-12 b,0.432,1.754,Kepler-12,904.4,1.17,1.48,G0,
Kepler-122 f,0.113,0.156,Kepler-122,1058.58,0.99,1.22,,
Kepler-128 b,0.00242,0.128,Kepler-128,400.93,1.09,1.61,,
Kepler-128 c,0.00283,0.12,Kepler-128,400.93,1.09,1.61,,
Kepler-131 b,0.051,0.215,Kepler-131,230.19,1.02,1.03,,
Kepler-131 c,0.026,0.075,Kepler-131,230.19,1.02,1.03,,
Kepler-138 b,0.00021,0.047,Kepler-138,66.99,0.52,0.44,M1 V,
Kepler-138 c,0.0062,0.107,Kepler-138,66.99,0.52,0.44,M1 V,
Kepler-138 d,0.00201,0.108,Kepler-138,66.99,0.52,0.44,M1 V,
Kepler-138 e,0.00135,,Kepler-138,66.99,0.52,0.44,M1 V,
Kepler-145 b,0.117,0.236,Kepler-145,576.15,1.28,1.98,,
Kepler-145 c,0.25,0.385,Kepler-145,576.15,1.28,1.98,,
Kepler-15 b,0.66,0.96,Kepler-15,755.38,1.02,0.99,,
Kepler-150 f,0.0283,0.325,Kepler-150,914.4,,0.94,,
Kepler-1520 b,6.3E-05,,Kepler-1520,636.0,0.76,0.71,K4V,
Kepler-16 (AB) b,0.333,0.7538,Kepler-16 (AB),,0.8499,0.65,K,
Kepler-160 d,0.31463,,Kepler-160,962.92,,1.12,,
Kepler-1654 b,0.5,0.819,Kepler-1654,577.6,1.01,1.18,G5 V,
Kepler-1655 b,0.01573,0.197,Kepler-1655,214.58,1.03,1.03,G0 V,
Kepler-1656 b,0.1504,0.448,Kepler-1656,186.88,1.03,1.1,,
Kepler-1656 c,0.3977,,Kepler-1656,186.88,1.03,1.1,,
Kepler-1661 (AB) b,0.053,,Kepler-1661 (AB),415.5,1.1,,,
Kepler-167 d,0.006,0.107,Kepler-167,330.0,0.77,0.73,K4,
Kepler-1705 b,0.01406,0.1811,Kepler-1705,,0.838,0.768,,
Kepler-1705 c,0.01705,0.1829,Kepler-1705,,0.838,0.768,,
Kepler-177 b,0.01837,0.312,Kepler-177,1497.42,0.92,1.32,,
Kepler-177 c,0.04625,0.779,Kepler-177,1497.42,0.92,1.32,,
Kepler-18 b,0.022,0.178,Kepler-18,438.51,0.97,1.11,,
Kepler-18 c,0.054,0.49,Kepler-18,438.51,0.97,1.11,,
Kepler-18 d,0.052,0.623,Kepler-18,438.51,0.97,1.11,,
Kepler-19 b,0.02643,0.198,Kepler-19,219.95,0.94,0.86,,
Kepler-19 c,0.04122,,Kepler-19,219.95,0.94,0.86,,
Kepler-19 d,0.07079,,Kepler-19,219.95,0.94,0.86,,
Kepler-197 c,0.017,0.11,Kepler-197,333.75,,1.12,,
Kepler-20 b,0.03052,0.167,Kepler-20,284.88,0.95,0.96,G8,
Kepler-20 c,0.04012,0.272,Kepler-20,284.88,0.95,0.96,G8,
Kepler-20 d,0.03168,0.245,Kepler-20,284.88,0.95,0.96,G8,
Kepler-20 e,0.0097,0.077,Kepler-20,284.88,0.95,0.96,G8,
Kepler-20 f,0.045,0.089,Kepler-20,284.88,0.95,0.96,G8,
Kepler-21 b,0.01598,0.146,Kepler-21,108.86,1.41,1.9,F6 IV,
Kepler-22 b,0.113,0.212,Kepler-22,190.0,0.97,0.98,G5 V,
Kepler-223 b,0.02328,0.267,Kepler-223,1960.49,1.12,1.72,,
Kepler-223 c,0.01605,0.307,Kepler-223,1960.49,1.12,1.72,,
Kepler-223 d,0.02517,0.467,Kepler-223,1960.49,1.12,1.72,,
Kepler-223 e,0.0151,0.41,Kepler-223,1960.49,1.12,1.72,,
Kepler-23 b,0.8,0.17,Kepler-23,856.34,1.11,1.55,,
Kepler-23 d,0.055,0.196,Kepler-23,856.34,1.11,1.55,,
Kepler-238 e,0.534,0.5,Kepler-238,1897.73,1.43,1.43,,
Kepler-238 f,0.042,0.178,Kepler-238,1897.73,1.43,1.43,,
Kepler-25 b,0.0275,0.245,Kepler-25,244.96,1.19,1.31,,
Kepler-25 c,0.0479,0.465,Kepler-25,244.96,1.19,1.31,,
Kepler-25 d,0.226,,Kepler-25,244.96,1.19,1.31,,
Kepler-26 b,0.01611,0.248,Kepler-26,338.55,0.54,0.51,M0 V,
Kepler-26 c,0.01951,0.243,Kepler-26,338.55,0.54,0.51,M0 V,
Kepler-276 c,0.052,0.259,Kepler-276,1181.73,0.96,1.05,,
Kepler-276 d,0.051,0.25,Kepler-276,1181.73,0.96,1.05,,
Kepler-277 b,0.275,0.261,Kepler-277,1004.88,1.19,1.65,,
Kepler-277 c,0.202,0.3,Kepler-277,1004.88,1.19,1.65,,
Kepler-278 b,0.176,0.363,Kepler-278,448.65,,2.94,,
Kepler-278 c,0.1098,0.32,Kepler-278,448.65,,2.94,,
Kepler-279 c,0.155,0.384,Kepler-279,1069.2,1.23,1.75,,
Kepler-279 d,0.118,0.277,Kepler-279,1069.2,1.23,1.75,,
Kepler-282 d,0.192,0.219,Kepler-282,1390.97,1.09,0.9,,
Kepler-282 e,0.177,0.277,Kepler-282,1390.97,1.09,0.9,,
Kepler-289 b,0.023,0.192,Kepler-289,700.0,1.08,1.0,,
Kepler-289 c,0.42,1.034,Kepler-289,700.0,1.08,1.0,,
Kepler-289 d,0.013,0.239,Kepler-289,700.0,1.08,1.0,,
Kepler-29 b,0.01573,0.227,Kepler-29,851.9,0.76,0.73,,
Kepler-29 c,0.01416,0.209,Kepler-29,851.9,0.76,0.73,,
Kepler-30 b,0.036,0.348,Kepler-30,938.33,0.99,0.95,,
Kepler-30 d,0.073,0.785,Kepler-30,938.33,0.99,0.95,,
Kepler-305 b,0.033,0.321,Kepler-305,889.64,0.83,0.79,,
Kepler-305 c,0.019,0.294,Kepler-305,889.64,0.83,0.79,,
Kepler-307 b,0.02341,0.217,Kepler-307,585.27,0.91,0.81,,
Kepler-307 c,0.01145,0.196,Kepler-307,585.27,0.91,0.81,,
Kepler-32 c,0.5,0.178,Kepler-32,326.85,0.58,0.53,M1 V,
Kepler-328 b,0.09,0.205,Kepler-328,2354.42,1.1,1.0,,
Kepler-328 c,0.124,0.482,Kepler-328,2354.42,1.1,1.0,,
Kepler-338 b,0.0963,0.218,Kepler-338,561.69,1.1,1.74,,
Kepler-338 e,0.027,0.139,Kepler-338,561.69,1.1,1.74,,
Kepler-34 (AB) b,0.22,0.7637,Kepler-34 (AB),1499.0,2.0687,1.1,G,
Kepler-35 (AB) b,0.1268,0.728,Kepler-35 (AB),1645.0,1.6971,1.0,G,
Kepler-350 c,0.019,0.277,Kepler-350,983.79,1.03,1.53,,
Kepler-350 d,0.047,0.25,Kepler-350,983.79,1.03,1.53,,
Kepler-36 b,0.01205,0.134,Kepler-36,470.0,1.03,1.63,,
Kepler-36 c,0.02243,0.328,Kepler-36,470.0,1.03,1.63,,
Kepler-37 b,0.01,0.026,Kepler-37,64.04,0.87,0.79,,
Kepler-37 c,0.03776,0.067,Kepler-37,64.04,0.87,0.79,,
Kepler-37 d,0.017,0.173,Kepler-37,64.04,0.87,0.79,,
Kepler-38 (AB) b,0.38,0.39,Kepler-38 A,,0.949,1.757,,
Kepler-396 b,0.238,0.312,Kepler-396,225.19,0.81,1.17,,
Kepler-396 c,0.056,0.473,Kepler-396,225.19,0.81,1.17,,
Kepler-4 b,0.077,0.357,Kepler-4,550.0,1.22,1.49,G0,
Kepler-406 b,0.02,0.128,Kepler-406,367.86,1.07,1.07,,
Kepler-406 c,0.009,0.076,Kepler-406,367.86,1.07,1.07,,
Kepler-407 b,0.01007,0.095,Kepler-407,341.69,1.0,1.01,,
Kepler-408 b,0.01573,0.073,Kepler-408,89.01,1.08,1.23,,
Kepler-409 b,0.06922,0.106,Kepler-409,68.31,0.92,0.89,,
Kepler-41 b,0.56,1.29,Kepler-41,1128.11,1.15,1.29,G2 V,
Kepler-411 b,0.08055,0.214,Kepler-411,153.59,0.87,0.82,K2 V,
Kepler-411 c,0.08306,0.394,Kepler-411,153.59,0.87,0.82,K2 V,
Kepler-411 d,0.04782,0.296,Kepler-411,153.59,0.87,0.82,K2 V,
Kepler-411 e,0.03398,,Kepler-411,153.59,0.87,0.82,K2 V,
Kepler-412 b,0.941,1.341,Kepler-412,1121.32,1.17,1.29,G3 V,
Kepler-413 (AB) b,0.211,0.3881,Kepler-413 (AB),,1.3623,0.7761,,
Kepler-414 b,0.011,0.153,Kepler-414,418.44,0.89,0.95,,
Kepler-414 c,0.094,0.269,Kepler-414,418.44,0.89,0.95,,
Kepler-415 b,0.377,0.108,Kepler-415,538.39,0.67,0.64,,
Kepler-416 b,0.183,0.221,Kepler-416,704.76,1.0,1.07,,
Kepler-417 b,0.035,0.206,Kepler-417,999.47,0.9,0.81,,
Kepler-42 b,0.009,0.07,Kepler-42,38.7,0.13,0.17,M,
Kepler-42 c,0.006,0.065,Kepler-42,38.7,0.13,0.17,M,
Kepler-42 d,0.003,0.051,Kepler-42,38.7,0.13,0.17,M,
Kepler-422 b,0.43,1.15,Kepler-422,738.2,1.15,1.24,,
Kepler-423 b,0.595,1.192,Kepler-423,725.0,0.85,0.95,G4 V,
Kepler-425 b,0.25,0.978,Kepler-425,650.0,0.93,0.86,K1 V,
Kepler-426 b,0.34,1.09,Kepler-426,880.0,0.91,0.92,G1 V,
Kepler-427 b,0.29,1.23,Kepler-427,1100.0,0.96,1.35,G2 V,
Kepler-435 b,0.84,1.99,Kepler-435,2070.0,1.54,3.21,,
Kepler-445 b,0.02,0.14,Kepler-445,90.0,0.18,0.21,M4,
Kepler-445 c,0.027,0.22,Kepler-445,90.0,0.18,0.21,M4,
Kepler-445 d,0.011,0.11,Kepler-445,90.0,0.18,0.21,M4,
Kepler-446 b,0.014,0.13,Kepler-446,120.0,0.22,0.24,M4,
Kepler-446 c,0.009,0.1,Kepler-446,120.0,0.22,0.24,M4,
Kepler-446 d,0.01,0.12,Kepler-446,120.0,0.22,0.24,M4,
