planet_name,planet_mass,planet_radius,star_name,star_distance_to_us (pc),star_mass,star_radius,star_sp_type,has_atmospere
TOI-1478 b,0.847,1.06,TOI-1478,153.0,0.946,1.05,,
TOI-1601 b,0.99,1.239,TOI-1601,336.0,1.517,2.186,,
TOI-1634 b,0.01545,0.1597,TOI-1634,35.274,0.502,0.45,M2,
TOI-1669 b,0.0132,0.214,TOI-1669,111.75,,,G5,
TOI-1670 b,0.0434,0.1838,TOI-1670,165.72,1.21,1.316,,
TOI-1670 c,0.63,0.987,TOI-1670,165.72,1.21,1.316,,
TOI-1680 b,0.01001,0.13079,TOI-1680,,0.18,0.213,M4.5,
TOI-1683 b,0.025,0.205,TOI-1683,,,,,
TOI-1685 b,0.01189,0.152,TOI-1685,37.609,0.495,0.492,M3.0V,
TOI-169 b,0.791,1.086,TOI-169,412.5,1.147,1.288,G1V,
TOI-1693 b,0.0088,0.1258,TOI-1693,30.8,0.49,0.46,,
TOI-1694 b,0.0809,0.48702,TOI-1694,124.2,,,,
TOI-1695 b,0.0182,0.17,TOI-1695,44.99,0.54,0.53,,
TOI-1696 b,0.1787,0.2891,TOI-1696,65.03,0.255,0.2775,,
TOI-1710 b,0.089,0.4764,TOI-1710,81.1376,0.984,0.968,G5V,
TOI-1728 b,0.08426,0.4505,TOI-1728,60.8,0.646,0.6243,,
TOI-1736 b,0.0374,0.2721,TOI-1736,88.9482,1.0,1.408,,
TOI-1749 b,0.06,0.124,TOI-1749,99.56,0.58,0.55,M0V,
TOI-1749 c,0.0066,0.1891,TOI-1749,99.56,0.58,0.55,M0V,
TOI-1749 d,0.0135,0.2248,TOI-1749,99.56,0.58,0.55,M0V,
TOI-1759 b,0.0214,0.273,TOI-1759,40.12,0.61,0.6,M0V,
TOI-178 b,0.00472,0.10278,TOI-178,63.0,0.65,0.651,,
TOI-178 c,0.01501,0.1489,TOI-178,63.0,0.65,0.651,,
TOI-178 d,0.00947,0.22946,TOI-178,63.0,0.65,0.651,,
TOI-178 e,0.01214,0.1969,TOI-178,63.0,0.65,0.651,,
TOI-178 f,0.02429,0.20403,TOI-178,63.0,0.65,0.651,,
TOI-178 g,0.0124,0.256,TOI-178,63.0,0.65,0.651,,
TOI-1789 b,0.7,1.4,TOI-1789,223.55,1.499,2.172,,
TOI-179 b,0.0758,0.2436,TOI-179,38.585,0.807,0.798,,
TOI-1801 b,0.01579,0.1865,TOI-1801,30.68,0.54,0.55,,
TOI-1807 b,0.00714,0.1222,TOI-1807,42.577,0.75,0.68,,
TOI-181 b,0.13,0.6183,TOI-181,96.2338,0.781,0.74,,
TOI-1811 b,0.974,1.0,TOI-1811,128.3,0.819,0.773,,
TOI-1842 b,0.214,1.04,TOI-1842,223.47,1.46,2.02,,
TOI-1853 b,0.040571,0.324465,TOI-1853,165.105,0.82,0.84,,
TOI-1860 b,0.0069,0.1169,TOI-1860,45.9,0.99,0.94,G5V,
TOI-1899 b,0.67,0.99,TOI-1899,128.4,0.627,0.607,M0,
TOI-199 b,0.17,0.81,TOI-199,101.7,0.936,0.82,G9V,
TOI-2000 b,0.0324,0.2355,TOI-2000,173.6,1.074,1.113,,
TOI-2000 c,0.2382,0.711,TOI-2000,173.6,1.074,1.113,,
TOI-201 b,0.42,1.0,TOI-201,114.2,1.316,1.317,F6V,
TOI-2018 b,0.0289,0.2025,TOI-2018,28.0,0.66,0.62,,
TOI-2018 c,0.0113,0.1374,TOI-2018,28.0,0.66,0.62,,
TOI-206 b,0.0069,0.116,TOI-206,47.7,0.35,0.35,,
TOI-2081 b,0.016,0.182,TOI-2081,62.31,0.54,0.534,M1,
TOI-2084 b,0.02121,0.2204,TOI-2084,114.29,0.49,0.475,M2,
TOI-2095 b,0.0129,0.1115,TOI-2095,41.917,0.465,0.453,M0.5V,
TOI-2095 c,0.0233,0.1187,TOI-2095,41.917,0.465,0.453,M0.5V,
TOI-2096 b,0.006,0.11089,TOI-2096,48.4809,0.218,0.25,,
TOI-2096 c,0.0145,0.17076,TOI-2096,48.4809,0.218,0.25,,
TOI-2134 b,0.02873,0.24,TOI-2134,22.62,0.69,0.77,,
TOI-2136 b,0.0148,0.1865,TOI-2136,33.36,0.34,0.34,,
TOI-2154 b,0.92,1.453,TOI-2154,296.3,1.233,1.396,,
TOI-2158 b,0.82,0.96,TOI-2158,200.0,1.12,1.41,,
TOI-216 b,0.0558,0.6861,TOI-216,178.89,0.77,0.747,,
TOI-216 c,0.528,0.901,TOI-216,178.89,0.77,0.747,,
TOI-2184 b,0.65,1.017,TOI-2184,,1.53,2.9,,
TOI-2193 b,0.94,1.77,TOI-2193,345.3,1.082,1.248,,
TOI-2194 b,0.0145456,0.177466,TOI-2194,19.5711,0.74,0.681,,
TOI-2196 b,0.082,0.3131,TOI-2196,263.98,1.032,1.043,,
TOI-220 b,0.0428,0.2694,TOI-220,89.0,0.825,0.858,,
TOI-2202 b,0.978,1.0,TOI-2202,235.93,0.823,0.794,K8V,
TOI-2202 c,0.369,,TOI-2202,235.93,0.823,0.794,K8V,
TOI-2207 b,0.64,0.995,TOI-2207,380.6,1.296,1.564,,
TOI-2257 b,0.0179,0.19574,TOI-2257,57.7911,0.33,0.311,M3,
TOI-2260 b,0.011,0.1445,TOI-2260,101.3,0.99,0.94,,
TOI-2285 b,0.0614,0.1552,TOI-2285,42.409,0.454,0.464,,
TOI-2364 b,0.225,0.768,TOI-2364,218.63,0.954,0.886,,
TOI-237 b,0.009,0.1285,TOI-237,38.11,0.179,0.211,,
TOI-2406 b,0.0286,0.2623,TOI-2406,55.6,0.162,0.202,M4V,
TOI-2411 b,0.0123,0.1499,TOI-2411,59.5,0.65,0.68,K5V,
TOI-2421 b,0.333,0.925,TOI-2421,327.3,,1.92,,
TOI-2427 b,0.0129,0.161,TOI-2427,28.5,0.64,0.65,K,
TOI-2443 b,0.02558,0.2471,TOI-2443,23.9258,0.66,0.732,,
TOI-2445 b,0.006,0.1115,TOI-2445,48.6,0.25,0.27,M,
TOI-2459 b,0.02847,0.2632,TOI-2459,36.6113,0.66,0.675,,
TOI-2498 b,0.10893,0.5406,TOI-2498,277.0,1.12,1.26,,
TOI-2525 b,0.084,0.774,TOI-2525,395.398,0.849,0.785,K8V,
TOI-2525 c,0.657,0.904,TOI-2525,395.398,0.849,0.785,K8V,
TOI-2567 b,0.201,0.975,TOI-2567,518.4,,1.83,,
TOI-257 b,0.134,0.626,TOI-257,77.07,1.389,1.926,F8/G0V,
TOI-2570 b,0.82,1.217,TOI-2570,361.7,,1.35,,
TOI-2583 b,0.25,1.29,TOI-2583A,561.2,1.215,1.477,,
TOI-2587 b,0.218,1.077,TOI-2587,381.0,1.15,1.726,,
TOI-2641 b,0.366,1.615,TOI-2641,,,,F9V,
TOI-266 b,0.0245,0.2284,TOI-266,101.694,1.04,0.92,,
TOI-2669 b,0.61,1.76,TOI-2669,,1.19,4.1,,
TOI-269 b,0.0277,0.2471,TOI-269,57.023,0.3917,0.398,M2V,
TOI-270 b,0.006,0.11125,TOI-270,22.453,0.4,0.38,M3.0V,
TOI-270 c,0.0208,0.2159,TOI-270,22.453,0.4,0.38,M3.0V,
TOI-270 d,0.017,0.19,TOI-270,22.453,0.4,0.38,M3.0V,
TOI-277 b,0.0308,0.27612,TOI-277,64.67,0.52,0.523,,
TOI-2796 b,0.44,1.59,TOI-2796,352.4,1.063,1.069,,
TOI-2803 b,0.975,1.616,TOI-2803,501.1,1.118,1.245,,
TOI-2818 b,0.71,1.363,TOI-2818,315.0,0.977,1.229,,
TOI-2842 b,0.37,1.146,TOI-2842,460.2,1.135,1.265,,
TOI-3023 b,0.62,1.466,TOI-3023,392.8,1.12,1.668,,
TOI-3082 b,0.0410483,0.326713,TOI-3082,113.048,0.664,0.68,,
TOI-3235 b,0.665,1.017,TOI-3235,72.5,0.3939,0.3697,,
TOI-332 b,0.18,0.285,TOI-332,222.85,0.88,0.87,K0V,
TOI-3629 b,0.26,0.74,TOI-3629,129.7,0.63,0.6,,
TOI-3688 b,0.98,1.167,TOI-3688,401.0,1.2,1.302,,
TOI-3714 b,0.689,0.994,TOI-3714,112.5,0.53,0.51,,
TOI-3757 b,0.2684,1.07,TOI-3757,177.4,0.64,0.62,,
TOI-3785 b,0.04704,0.4586,TOI-3785,79.4,0.52,0.5,,
TOI-3884 b,0.0519,0.5629,TOI-3884,43.338,0.2813,0.3043,,
TOI-3912 b,0.406,1.274,TOI-3912,470.0,1.088,1.392,,
TOI-3976 b,0.175,1.095,TOI-3976,522.2,1.254,1.501,,
TOI-3984 Ab,0.138,0.71,TOI-3984 A,,,,,
TOI-4010 b,0.035,0.2694,TOI-4010,176.5,0.88,0.83,,
TOI-4010 c,0.0639,0.529,TOI-4010,176.5,0.88,0.83,,
TOI-4010 d,0.12003,0.5513,TOI-4010,176.5,0.88,0.83,,
TOI-402 b,0.0227,0.1516,TOI-402,44.86,0.851,0.839,,
TOI-402 c,0.02766,0.225,TOI-402,44.86,0.851,0.839,,
TOI-4087 b,0.73,1.164,TOI-4087,310.4,1.178,1.112,,
TOI-4138 b,0.67,1.49,TOI-4138,507.0,1.32,1.82,,
TOI-4145 b,0.43,1.187,TOI-4145,205.0,0.905,0.859,,
TOI-421 b,0.05107,0.4612,TOI-421,,,,,
TOI-421 c,0.02218,0.2427,TOI-421,,,,,
TOI-4308 b,0.02029,0.2159,TOI-4308,108.932,0.9,0.79,,
TOI-431 b,0.00966,0.1142,TOI-431,32.61,0.78,0.731,,
TOI-431 d,0.0311,0.2935,TOI-431,32.61,0.78,0.731,,
TOI-4329 b,0.45,1.5,TOI-4329,,1.538,2.31,,
TOI-4406 b,0.3,1.0,TOI-4406,,,,,
TOI-4463 b,0.794,1.183,TOI-4463,177.64,1.056,1.062,,
TOI-4479 b,0.0261,0.2516,TOI-4479,80.6,0.452,0.451,M3,
TOI-4481 b,0.006,0.11874,TOI-4481,12.0641,0.413,0.4144,M1.5V,
TOI-4582 b,0.53,0.94,TOI-4582,,1.34,2.5,,
TOI-469 b,0.0302,0.3105,TOI-469,68.192,0.91,1.0,,
TOI-469 d,0.016,0.1222,TOI-469,68.192,0.91,1.0,,
TOI-4860 b,0.67,0.756,TOI-4860,80.0,0.335,0.348,M4.5,
TOI-500 b,0.005,0.1035,TOI-500,47.4,0.88,0.75,,
TOI-519 b,0.525,1.059,TOI-519,115.93,0.369,0.373,M3.5,
TOI-5293 Ab,0.54,1.06,TOI-5293 A,,,,,
TOI-530 b,0.4,0.83,TOI-530,147.7,0.53,0.54,,
TOI-532 b,0.1935,0.5192,TOI-532,134.61,0.639,0.612,,
TOI-5344 b,0.412,0.946,TOI-5344,136.88,0.612,0.588,,
TOI-544 b,0.016,0.1811,TOI-544,41.1,0.85,0.66,,
TOI-554 b,0.0267,0.2337,TOI-554,45.6181,1.24,1.43,,
TOI-554 c,0.0129,0.134,TOI-554,45.6181,1.24,1.43,,
TOI-561 b,0.00705,0.1267,TOI-561,86.01,0.805,0.832,,
TOI-561 c,0.0208,0.2596,TOI-561,86.01,0.805,0.832,,
TOI-561 d,0.03823,0.2516,TOI-561,86.01,0.805,0.832,,
TOI-561 e,0.0428,0.2275,TOI-561,86.01,0.805,0.832,,
TOI-5678 b,0.063,0.438,TOI-5678,104.0,0.905,0.938,G7V,
TOI-5803 b,0.03392,0.292018,TOI-5803,84.0126,0.87,0.76,,
TOI-615 b,0.435,1.693,TOI-615,,,,,
TOI-620 b,0.0485,0.3354,TOI-620,33.022,0.577,0.55,M2.5V,
TOI-622 b,0.303,0.824,TOI-622,,,,F6V,
TOI-640 b,0.88,1.771,TOI-640,341.9,1.536,2.082,,
TOI-672 b,0.0759785,0.469305,TOI-672,66.907,0.54,0.544,,
TOI-674 b,0.0739,0.4693,TOI-674,46.16,0.442,0.421,,
TOI-700 b,0.00406,0.08154,TOI-700,31.127,0.416,0.42,M2V,
TOI-700 c,0.0249,0.232,TOI-700,31.127,0.416,0.42,M2V,
TOI-700 d,0.00711,0.09573,TOI-700,31.127,0.416,0.42,M2V,
TOI-712 b,0.0176,0.1828,TOI-712,58.62,0.732,0.674,,
TOI-712 c,0.0274,0.241,TOI-712,58.62,0.732,0.674,,
TOI-712 d,0.0236,0.22072,TOI-712,58.62,0.732,0.674,,
TOI-763 b,0.0308,0.2034,TOI-763,95.39,0.917,0.897,,
TOI-763 c,0.02932,0.2346,TOI-763,95.39,0.917,0.897,,
TOI-776 b,0.01466,0.1633,TOI-776,27.19,0.544,0.538,M1V,
TOI-776 c,0.0192,0.1838,TOI-776,27.19,0.544,0.538,M1V,
TOI-784 b,0.03043,0.1722,TOI-784,64.59,0.91,0.907,,
TOI-824 b,0.058104,0.26104,TOI-824,63.71,0.69,0.68,K4V,
TOI-833 b,0.006,0.1133,TOI-833,41.7,0.61,0.6,M0V,
TOI-836 b,0.01425,0.15202,TOI-836,27.504,0.678,0.665,,
TOI-836 c,0.0302,0.2308,TOI-836,27.504,0.678,0.665,,
TOI-849 b,0.12299,0.30726,TOI-849,225.2,0.929,0.919,G,
TOI-892 b,0.95,1.07,TOI-892,,,,,
TOI-905 b,0.667,1.171,TOI-905,159.4,0.85,1.14,,
TOI-908 b,0.050773,0.28424,TOI-908,175.7,0.95,1.028,G,
TOI-913 b,0.0208,0.2192,TOI-913,65.1769,0.82,0.7325,,
TOI-954 b,0.174,0.852,TOI-954,235.7,1.201,1.892,,
TOI-969 b,0.0286,0.24668,TOI-969,77.83,0.734,0.671,K,
TRAPPIST-1 b,0.0027,0.09689,TRAPPIST-1,12.1,0.08,0.117,M8,
TRAPPIST-1 c,0.00434,0.09421,TRAPPIST-1,12.1,0.08,0.117,M8,
TRAPPIST-1 d,0.0013,0.0689,TRAPPIST-1,12.1,0.08,0.117,M8,
TRAPPIST-1 e,0.002,0.0819,TRAPPIST-1,12.1,0.08,0.117,M8,
TRAPPIST-1 f,0.0021,0.09323,TRAPPIST-1,12.1,0.08,0.117,M8,
TRAPPIST-1 g,0.00422,0.1005,TRAPPIST-1,12.1,0.08,0.117,M8,
TRAPPIST-1 h,0.001041,0.0674,TRAPPIST-1,12.1,0.08,0.117,M8,
TVLM 513-46546 b,0.38,,TVLM 513-46546,10.706,0.08,,M8.5V,
TrES-1 b,0.761,1.099,TrES-1,157.0,0.88,0.85,K0V,
TrES-4 b,0.917,1.706,TrES-4,479.0,1.388,1.798,F,
V1298 Tau b,0.5,0.8877,V1298 Tau,108.5,1.1,1.305,K0-K1.5,
V1298 Tau c,0.0623,0.4675,V1298 Tau,108.5,1.1,1.305,K0-K1.5,
V1298 Tau d,0.113,0.5656,V1298 Tau,108.5,1.1,1.305,K0-K1.5,
V1298 Tau e,0.66,0.848,V1298 Tau,108.5,1.1,1.305,K0-K1.5,
WASP-1 b,0.947,1.514,WASP-1,,1.24,1.382,F7V,
WASP-101 b,0.5,1.41,WASP-101,,1.34,1.29,F6,
WASP-102 b,0.624,1.259,WASP-102,,1.167,1.331,G0,
WASP-107 b,0.12,0.94,WASP-107,,0.69,0.66,K6,
WASP-109 b,0.91,1.443,WASP-109,330.0,1.203,1.346,F4,
WASP-110 b,0.515,1.238,WASP-110,320.0,0.892,0.881,G9,
WASP-112 b,0.88,1.191,WASP-112,450.0,0.807,1.002,G6,
WASP-113 b,0.475,1.409,WASP-113,360.0,1.318,1.608,G1,
WASP-117 b,0.2755,1.021,WASP-117,,1.126,1.17,F9,
WASP-118 b,0.514,1.44,WASP-118,380.53,1.32,1.7,F6,
WASP-123 b,0.92,1.327,WASP-123,,1.207,1.296,G5,
WASP-124 b,0.6,1.24,WASP-124,433.0,1.07,1.02,F9,
WASP-126 b,0.2841,0.96,WASP-126,234.0,1.12,1.27,G2,
WASP-126 c,0.202,,WASP-126,234.0,1.12,1.27,G2,
WASP-127 b,0.18,1.37,WASP-127,,1.08,1.39,G5,
WASP-13 b,0.485,1.365,WASP-13,156.0,,,G1V,
WASP-131 b,0.27,1.22,WASP-131,250.0,1.06,1.53,G0,
WASP-132 b,0.41,0.8966,WASP-132,120.0,0.8,0.74,K4,
WASP-137 b,0.681,1.27,WASP-137,289.0,1.216,1.65,G0,
WASP-139 b,0.117,0.8,WASP-139,230.0,,,K0,
WASP-142 b,0.84,1.53,WASP-142,840.0,1.33,1.64,F8,
WASP-143 b,0.725,1.234,WASP-143,402.0,1.087,1.0,G1,
WASP-144 b,0.44,0.85,WASP-144,,0.81,0.81,K2V,
WASP-145 A b,0.89,0.9,WASP-145 A,,0.76,0.68,K2V,
WASP-147 b,0.275,1.115,WASP-147,426.0,1.044,1.429,G4,
WASP-148 b,0.287,0.756,WASP-148,248.1,1.0,1.03,,
WASP-15 b,0.542,1.428,WASP-15,308.0,1.18,1.477,F7,
WASP-151 b,0.31,1.13,WASP-151,480.0,1.077,1.14,G1,
WASP-153 b,0.39,1.55,WASP-153,430.0,1.336,1.73,G0,
WASP-156 b,0.1303,0.554,WASP-156,140.0,0.842,0.76,K3,
WASP-157 b,0.576,0.998,WASP-157,337.71,1.06,1.1,G2 V,
WASP-159 b,0.55,1.38,WASP-159,,1.41,2.11,F9,
WASP-16 b,0.855,1.008,WASP-16,,1.022,0.946,G3V,
WASP-160 B b,0.281,1.093,WASP-160 B,,0.89,0.872,K0V,
WASP-165 b,0.658,1.26,WASP-165,,1.248,1.75,G6,
WASP-166 b,0.102,0.6155,WASP-166,113.0,1.19,1.22,F9,
WASP-168 b,0.42,1.5,WASP-168,,1.08,1.12,F9V,
WASP-169 b,0.561,1.304,WASP-169,638.0,1.337,2.011,,
WASP-17 b,0.486,1.991,WASP-17,,1.2,1.38,F4,
WASP-172 b,0.47,1.57,WASP-172,,1.49,1.91,F1V,
WASP-174 b,0.33,1.437,WASP-174,,1.28,,F6V,
WASP-175 b,0.99,1.208,WASP-175,584.0,1.212,1.204,,
WASP-176 b,0.855,1.505,WASP-176,578.0,1.27,1.945,,
WASP-177 b,0.508,1.58,WASP-177,178.0,0.876,0.885,K2,
WASP-18 c,0.1737,,WASP-18,100.0,1.24,1.23,F6,
WASP-180 A b,0.8,1.29,WASP-180 A,255.8,1.3,1.19,F7 V-V,
WASP-181 b,0.299,1.184,WASP-181,443.0,1.04,0.965,G2,
WASP-182 b,0.148,0.85,WASP-182,331.0,1.076,1.34,,
WASP-183 b,0.502,1.47,WASP-183,328.0,0.784,0.871,G9/K0,
WASP-184 b,0.57,1.33,WASP-184,640.0,1.23,1.65,G0,
WASP-185 b,0.98,1.25,WASP-185,,,,G0,
WASP-187 b,0.8,1.64,WASP-187,376.0,1.54,2.83,,
WASP-193 b,0.139,1.464,WASP-193,377.72,1.12,1.225,,
WASP-2 A b,0.847,1.079,WASP-2 A,144.0,0.84,0.834,K1V,
WASP-20 A b,0.313,1.459,WASP-20 A,210.0,1.202,1.392,,
WASP-21 b,0.3,1.21,WASP-21,230.0,1.01,1.06,G3V,
WASP-22 b,0.617,1.199,WASP-22,300.0,1.1,1.13,,
WASP-23 b,0.884,0.962,WASP-23,,0.78,0.765,K1V,
WASP-25 b,0.58,1.26,WASP-25,169.0,1.0,0.95,G4,
WASP-28 b,0.907,1.213,WASP-28,410.0,1.021,1.094,F8-G0,
WASP-29 b,0.243,0.775,WASP-29,80.0,0.825,0.846,K4V,
WASP-31 b,0.478,1.537,WASP-31,400.0,1.16,1.24,F,
WASP-34 b,0.59,1.22,WASP-34,120.0,1.01,0.93,G5,
WASP-35 b,0.72,1.32,WASP-35,,,,,
WASP-39 b,0.28,1.27,WASP-39,230.0,0.93,0.895,G8,
WASP-41 b,0.94,1.18,WASP-41,180.0,0.95,1.01,G8V,
WASP-42 b,0.5,1.08,WASP-42,,,,,
WASP-44 b,0.889,1.14,WASP-44,,0.951,0.927,G8V,
WASP-47 d,0.04122,0.319,WASP-47,266.69,1.04,1.14,G9V,
WASP-47 e,0.02149,0.161,WASP-47,266.69,1.04,1.14,G9V,
WASP-48 b,0.98,1.67,WASP-48,,1.19,1.75,,
WASP-49 A b,0.378,1.115,WASP-49 A,170.0,0.94,0.9,,
WASP-52 b,0.46,1.27,WASP-52,140.0,0.87,0.79,K2V,
WASP-54 b,0.6,1.4,WASP-54,,,,,
WASP-55 b,0.61,1.33,WASP-55,299.97,1.11,1.09,G1,
WASP-56 b,0.6,1.2,WASP-56,,,,,
WASP-57 b,0.8,1.1,WASP-57,,,,G6,
WASP-58 b,0.89,1.37,WASP-58,300.0,0.94,1.17,G2V,
WASP-59 b,0.863,0.775,WASP-59,125.0,0.719,0.613,K5V,
WASP-6 b,0.503,1.224,WASP-6,307.0,0.888,0.87,G8,
WASP-60 b,0.5,0.9,WASP-60,400.0,1.078,1.14,G1V,
WASP-62 b,0.57,1.39,WASP-62,160.0,1.25,1.28,F7,
WASP-63 b,0.38,1.43,WASP-63,330.0,1.32,1.88,G8,
WASP-67 b,0.42,1.4,WASP-67,225.0,0.87,0.87,K0V,
WASP-68 b,0.95,1.24,WASP-68,,,,G2,
WASP-69 b,0.26,1.057,WASP-69,50.0,0.826,0.813,K5,
WASP-7 b,0.96,1.33,WASP-7,140.0,1.276,1.432,F5V,
WASP-70 A b,0.59,1.164,WASP-70 A,245.0,1.106,1.215,G4,
WASP-74 b,0.826,1.248,WASP-74,120.0,1.48,1.64,F9,
WASP-76 b,0.92,1.83,WASP-76,195.3,1.46,1.73,F7,
WASP-78 b,0.89,1.7,WASP-78,550.0,2.02,2.31,F8,
WASP-79 b,0.9,1.7,WASP-79,240.0,1.56,1.64,F3,
WASP-80 b,0.554,0.952,WASP-80,60.0,0.58,0.63,K7V,
WASP-81 b,0.729,1.429,WASP-81,410.0,1.08,1.283,G1,
WASP-83 b,0.3,1.04,WASP-83,300.0,1.11,1.05,G8,
WASP-84 b,0.692,0.9564,WASP-84,120.0,0.842,0.748,K0,
WASP-84 c,0.0478,0.174,WASP-84,120.0,0.842,0.748,K0,
WASP-88 b,0.56,1.7,WASP-88,,1.45,2.08,F6,
WASP-90 b,0.63,1.63,WASP-90,340.0,1.55,1.98,F6,
WASP-92 b,0.805,1.461,WASP-92,530.0,1.19,1.341,F7,
WASP-94 A b,0.452,1.72,WASP-94 A,,1.29,1.36,F8,
WASP-96 b,0.48,1.2,WASP-96,,1.06,1.05,G8,
WASP-98 b,0.83,1.1,WASP-98,,0.69,0.7,G7,
WD 1145+017 b,2.1E-06,,WD 1145+017,174.0,,,WD,
Wendelstein-1 b,0.59,1.0,Wendelstein-1,304.0,0.65,0.61,,
Wendelstein-2 b,0.73,1.0,Wendelstein-2,575.0,0.73,0.66,,
Wolf 503 b,0.0197,0.18227,Wolf 503,44.583,0.688,0.69,K3.5V,
XO-1 b,0.9,1.184,XO-1,200.0,1.0,0.928,G1V,
XO-2N b,0.62,0.973,XO-2N,149.0,0.98,0.964,K0V,
XO-7 b,0.709,1.373,XO-7,234.1,1.405,1.48,GOV,
eps Eridani b,0.76,,eps Eridani,3.2,0.83,0.895,K2 V,
pi Men c,0.01142,0.16719,pi Men,18.37,1.094,1.1,G0V,
ups And b,0.62,,ups And,13.47,1.27,1.631,F8 V,